TranslatedRecipeName,TranslatedIngredients,TotalTimeInMins,Cuisine,TranslatedInstructions
"Mexican Breakfast Tortilla, Fried Eggs & Black Beans With Salsa Recipe","3 Tortillas,1 cup Refried beans,3 tablespoons Sunflower Oil - for frying eggs,1 to 2 tablespoons Sour cream,1/2 cup Tomato Salsa,3 Whole Eggs,1/2 cup Guacamole",25,Mexican,"To begin making the Mexican Breakfast Tortilla, Fried Eggs & Black Beans With Salsa Recipe, heat the tortillas on the tawa on low flame.
Remove from the tawa and place on a working counter*Now to make the Breakfast Tortilla:Make Homemade Guacamole : Homemade Guacamole Recipe - Perfect Mexican Guacamole DipMake Refried Beans : Homemade Refried Beans Recipe - Quick & Easy Mexican BeansSmear refried beans on warm tortillas and add some guacamole.
Heat a flat pan and add 1 tablespoon oil.
Carefully break an egg and fry it for about a minute.
Once the egg whites are cooked and yolk is still little wobbly, remove the eggs from pan and carefully place it on the tortillas.
Repeat this with the rest of the eggs.Add some fresh tomato onion salsa on top and drizzle sour cream to finish it off.
Roll the tortillas and wrap it in a aluminium foil.
Serve immediately.Serve Mexican Breakfast Tortilla, Fried Eggs & Black Beans With Salsa on its own for a healthy and delicious breakfast with Banana Papaya Smoothie."
Bengali Chirer Pulao Recipe - Bengali Style Vegetable Poha,"1/4 teaspoon Kalonji (Onion Nigella Seeds),3 tablespoons Roasted Peanuts (Moongphali),1 Carrot (Gajjar) - finely chopped,1 tablespoon Lemon juice,1 tablespoons Sunflower Oil,2 teaspoons Sugar,1/3 cup Green peas (Matar),Salt and Pepper - to taste,2 cups Poha (Flattened rice),1/2 cup Cauliflower (gobi) - florets,1 tablespoon Raisins,1/4 cup Green beans (French Beans) - finely chopped,Coriander (Dhania) Leaves - small bunch,1 teaspoon Turmeric powder (Haldi),1 Onion - thinly sliced",35,Bengali Recipes,"To begin making Bengali Chirer Pulao Recipe, we will first steam the green peas, carrots, cauliflower and beans in a steamer until it is cooked.
Once cooked, remove from the steamer and keep the vegetables aside.Place the poha (Chirer) in a colander and rinse it well under running water.
Stir the poha gently by using your fingers while rinsing, otherwise they will become mushy at the time of cooking.
Once washed set aside the poha.The next step is to bring the Chirer Pulao together.
Heat oil in a heavy bottomed pan or a wok.
Add the nigella seeds and allow it to crackle.Add sliced onions and saute over medium heat till light brown in color.
 Once the onions are tender, add the turmeric powder, steamed vegetables, peanuts, raisins, salt and sugar.
Stir to combine and finally add rinsed poha (Chirer).
Give the Bengali Chirer Pulao a gentle stir until all the ingredients come together.
Turn the heat to low and cover the pan.
Allow the Bengali Chirer Pulao to cook in the steam along with the vegetables.
This will take about 3 to 4 minutes.After 3 to 4 minutes, you will notice the Chirer Pulao has puffed up slightly.
At this stage turn off the heat.
Stir in the juice from one lemon and the coriander leaves.
Check the salt and seasonings and adjust to suit your taste.Serve the Bengali Chirer Pulao for the breakfast along with a hot cup of Masala Chai or enjoy it as an evening tea time snack."
Pan Fried Chinese Chilli Chicken recipe,"3 tablespoons Extra Virgin Olive Oil,3 tablespoons Soy sauce,2 tablespoons Red Chilli sauce,2 teaspoons Tomato Ketchup,1 tablespoon Soy sauce,3 tablespoons Honey,6 Green Chillies - slit vertically,1 teaspoon Whole Black Peppercorns - coarsely pounded,1 teaspoon Red Chilli powder,1 Whole Eggs,1 Onion - cut to half and layers separated,500 grams Boneless chicken - breasts,1 Red Yellow and Green Bell Peppers (Capsicum) - cut into 1-inch squares,2 Stalks Spring Onion (Bulb & Greens) - finely chopped,6-8 cloves Garlic - minced,1 tablespoon Rice flour",50,Chinese,"To prepare Pan Fried Chinese Chilli Chicken recipe, wash the chicken breasts well with water and then cut them into vertical strips or small cubes.In a bowl, beat the egg and combine with soy sauce, black pepper powder, red chili powder, rice flour and the chicken strips, mix well.Heat a Skillet and drizzle oil.Place all the coated chicken pieces, well apart from each other.Let them fry on medium high heat till nice and soft on all the sides and are golden brown.Check with the toothpick if the chicken is cooked well.While chicken is cooking, prepare the sauce.
In a mixing bowl, combine the soy sauce, red chili sauce, tomato ketchup, crushed black pepper and honey.
Heat a tablespoon oil in a saucepan and add chopped garlic.
Saute for few seconds and then add chilies, onions and bell pepper.
Mix and cover.
Let it cook on medium heat for 2-3 minutes.Pour in the prepared sauce and mix.Add the pan fried chicken and mix well.Sprinkle some chopped spring onions and mix.Simmer on low heat for 5 minutes and remove from heat.Serve this delicious Pan Fried Chinese Chilli Chicken as an appetizer or make a meal with plain rice/Chinese Vegetable Fried Rice and Black Sesame Nai Huang Bao Recipe."
Instant Oats Rava Idli Recipe,"1-1/2 cup Instant Oats (Oatmeal),1 Carrot (Gajjar) - grated,1 cup Curd (Dahi / Yogurt),1/2 teaspoon Mustard seeds,Salt - to taste,Coriander (Dhania) Leaves - a bunch,2 Green Chillies - finely chopped,1 tablespoon Cashew nuts - broken,1/2 teaspoon Enos fruit salt,1 sprig Curry leaves - finely chopped,1/4 teaspoon Asafoetida (hing),1 teaspoon Sunflower Oil,1 tablespoon Chana dal (Bengal Gram Dal),1/2 cup Sooji (Semolina/ Rava)",30,South Indian Recipes,"To begin making the Instant Oats Rava Idli Recipe, we will first prepare the tempering/tadka that will be added to the Oats Rava Idli.Heat oil in a skillet on medium heat.
Add mustard seeds and as they begin to splutter, add chana dal and roast the dal until it turns golden brown.
Once the dal has turned golden brown, add chopped green chilies, curry leaves and asafoetida and saute for a few seconds.Turn off the flame and set aside to cool.
In another pan, on medium flame dry roast the oats until you get the roasted aroma and it slightly changes in color.
Once roasted, allow it to cool and blend to a make a powder and keep it aside.In a large mixing bowl, add the oats powder and roasted rava, roasted seasoning ingredients, grated carrots and chopped coriander leaves.
Mix well.Add yogurt, salt and little water at a time to make it to a thick batter.
The consistency of the oats idli batter should be slightly loose than a idli batter.
Set it aside for 10-15 mins.
The batter will thicken while it rests.
After the resting period, add the enos fruit salt and mix again.Preheat an idli steamer with water.
Grease idli plates with oil and pour the batter into each cavity of the idli plate.
Place the Oats Rava Idli into the steamer and steam for 10-15 minutes until cooked through.
Serve the Instant Oats Rava Idli Recipe along with some Tomato Onion Chutney or Vengayam Sambar for a weeknight dinner.
"
Maharashtrian Style Farasbi Chi Bhaji Recipe - Beans Cooked With Peanuts,"2 teaspoons Maharashtrian Goda Masala,500 grams Green beans (French Beans) - cut into 1/2 an inch pieces,1/2 teaspoon Turmeric powder (Haldi),2 teaspoon Lemon juice,1-1/2 teaspoon Red Chilli powder,2 sprig Curry leaves,2 teaspoons Sunflower Oil,Salt - to taste,1 teaspoon Mustard seeds,1/4 teaspoon Asafoetida (hing),1/2 cup Raw Peanuts (Moongphali) - roasted and coarsely ground,1 teaspoon Jaggery - powdered",25,Maharashtrian Recipes,"To begin making the Maharashtrian Style Farasbi Chi Bhaji Recipe, dry roast peanuts on medium heat in a pan till they turn golden brown and then grind it to a coarse mix using a mixer grinder and keep aside.Heat oil in the same pan, add the mustard seeds and let it crackle.Add the asafoetida, curry leaves and let it splutter.
Add the cut french beans, season with little salt and saute for a minute.Cover it with a lid and let the beans cook in its own steam for 5 minutes, until it is cooked to retain its crunchy texture.Now, add the turmeric powder, goda masala, red chilli powder, jaggery and mix well.
Saute for 2 minutes until the raw smell of the spices goes away.Adjust the seasoning, add the roasted and crushed peanuts, give it a stir and cook for another 2 minutes.Add the lemon juice, stir well and switch off the flame.Serve the Maharashtrian Style Farasbi Chi Bhaji Recipe along with Phulkas and Dal Tadka for a simple weeknight dinner.
Serve Boondi Raita to complete this meal."
Creamy & Delicious Egg Mayo Sandwich Recipe - Kids Recipes Made With Del Monte,"1 Cucumber - finely chopped,8 Whole Wheat Brown Bread - edges trimmed,Salt and Pepper - to taste,4 tablespoons Classic Mayonnaise (With Egg),3 Whole Eggs,4 sprig Coriander (Dhania) Leaves",40,Continental,"To begin making the Creamy & Delicious Egg Mayo Sandwich Recipe, heat a sauce pan with oil, crack the eggs directly on to the hot pan.As the pan gets heated up, start mixing the egg with a wooden spatula and make a scramble.
Season it with salt and pepper and stir.After the scramble is made, add chopped cucumber, coriander leaves and a heap tablespoon of Del Monte Egg Mayo and mix well.
Check the salt and seasonings and adjust to suit your taste.Take the bread slices and cut the edges and further cut them in the center to form two rectangles.Place the Egg Mayo stuffing on one of the slice and cover it with another.
Continue the same with the remaining slices of breads to make the Egg Mayo Sandwich.Serve the Creamy & Delicious Egg Mayo Sandwich along with a glass of Banana Almond & Prunes Smoothie as a summer breakfast or an evening snack for kids."
Pumpkin Creme Brulee Recipe,"4 Egg yolks,1-1/2 cups Heavy whipping cream,9 tablespoons Sugar - (light brown) for topping,1/3 cup Brown Sugar (Demerara Sugar) - (light brown sugar,1/4 teaspoon Pumpkin pie spice - (or a mix of nutmeg,1/2 cup Pumpkin puree",40,French,"To begin making the Pumpkin Crème Brulee first preheat the oven to 160 deg C.
If you do not have the pumpkin spice mix handy, grind a mix of nutmeg, cinnamon, dried ginger powder in equal quantity and use 1/4 spoon of it.Whisk the egg yolks and 1/3 cup sugar in a heat proof bowl, with the help of a hand mixer.Warm the cream in a heavy bottom pan/saucepan till the small bubbles just start appearing around the edge.Add the pumpkin pie spice mix, stir and keep aside for 8-10 minutes to cool a bit.Whisking continuously, gradually add the cream to the egg yolk mixture till it is fully incorporated.Mix in the pumpkin puree.Pour the mixture into about 8-9, 3 ounce (mini) ramekins (or 5-6 large ramekins).Place them on cake pan or a roasting pan.Pour hot water in the pan till it comes halfway up the sides of the ramekins.Bake for about 20-25 minutes till the custard is almost set but is still wobbly in the centre.
(Timing may change depending on the ramekin size and efficiency of the oven)Carefully take out the ramekins from the oven and from the pan.Cool on a wire rack for 10-12 minutes.Refrigerate for at least 2 hours or up to 2-3 days (when you are making the brulee in advance.Remove the crème brulee from the refrigerator for about 10-15 minutes before serving.Spread 1 tablespoon sugar on top of each custard filled ramekin.Using a blowtorch, melt and caramelise the sugar.
You can alternatively broil the crème brulee in oven to caramelise the sugar.Keep the creme brulee aside for 5 minutes before serving to get the crunchy top layer.Serve Pumpkin Creme Brulee Recipe after a meal of French Onion Soup Recipe, Cauliflower Au Gratin Recipe, or French Onion Chicken Recipe and baguette bread."
Vegan Curried Rice with Chickpeas Recipe,"3 tablespoon Curry powder,1 inch Ginger - chopped,1 cup Brown Rice - soaked for 30 minutes and washed,Salt - to taste,1/2 cup Kabuli Chana (White Chickpeas) - soaked overnight and boiled,2 cloves Garlic - chopped,1 teaspoon Fennel seeds (Saunf),4 sprigs Coriander (Dhania) Leaves - Chopped,2 1/2 cup Vegetable stock - you can even use the drained water of chickpeas",55,Asian,"To begin making the Vegan Curried Rice with Chickpeas Recipe, heat a pressure cooker with oil.
Add the ginger garlic and fry till soften.
Add the fennel seeds as well.
Saute for 10 more secondsAdd the soaked and washed rice, curry powder salt and stock pressure cook for 4 whistle till the rice is done.Remove and mix well add the chickpeas as well and check for salt.
Add chopped coriander leaves and serve.Serve the Vegan Curried Rice with Raisins and Chickpeas Recipe along with salads or Tomato Onion Cucumber Raita Recipe by the side."
Vegan Godhi Payasa Recipe  - Lapsi Kheer,"3 Cardamom (Elaichi) Pods/Seeds - crushed finely,1 cup Broken Wheat (Dalia/ Godumai Rava),3 tablespoons Coconut Oil - virgin oil,10 Cashew nuts,1/4 cup Fresh coconut - grated,2 teaspoons Poppy seeds,1-1/4 cup Jaggery,10 Badam (Almond)",170,South Indian Recipes,"To begin making the Vegan Godhi Payasa recipe, soak almonds and cashews in water for an hour.Grind almonds (peeled), cashews, poppy seeds and coconut with little water into a smooth paste in a mixer grinder.Wash and soak the broken wheat in water for 1 hour.
Drain the broken wheat using a colander and squeeze excess water with your hands.Heat coconut oil in a heavy bottomed pan on low flame, and add the broken wheat and saute it until it is fluffy and starts to turn golden.Next, add the jaggery and stir it around for a couple of minutes until the broken wheat absorbs the sweetness, add the crushed cardamom.
Once the pan loses moisture and starts to catch the bottom, add 3 cups of water, cover and cook on medium heat until 90 percent of the water is absorbed.
Now, add the above prepared nut paste, mix it all together and cook for 3 to 4 minutes.
Add some water if required to adjust the consistency according to your preference.
Serve hot or chilled.You can garnish with dried fruit and nuts if you wish, since we use the nut paste and the texture of the Broken wheat is quite nutty you will not miss any dry fruit garnish.Serve Vegan Godhi Payasa as a dessert after your meal of Mixed Vegetable Sambar, Steamed Rice, Carrot And Beans Thoran and Elai Vadam.."
Maize Daliya Khichri Recipe,"1/2 cup Maize Dalia (Broken Corn Meal),1 Green Chilli,1/4 cup Govind Bhog Rice - or risotto rice,1 teaspoon Garam masala powder,1/2 teaspoon Panch Phoran Masala,2 Cardamom (Elaichi) Pods/Seeds,Salt - to taste,1/4 teaspoon Red Chilli powder,1 Potato (Aloo) - cubed,2-1/2 cups Water,2 teaspoon Ghee,1 Bay leaf (tej patta),1/2 cup Carrot (Gajjar) - chopped,1/2 teaspoon Ginger - paste,1/2 cup Green beans (French Beans) - chopped,1/4 teaspoon Turmeric powder (Haldi)",30,Indian,"To begin making Maize Daliya Khichri, firstly wash rice and maize for two to three times.
Keep it aside.Heat a pressure cooker with ghee and add the ginger paste and rest of the dry ingredients stir fry for few minutes.Add maize and rice, stir well with salt and the vegetables for 5 minutes.Finally, add the water and cook up to 4 -5 whistle on medium heat until maize is fully cooked.Once it is cooked, add garam masala powder and add little water if it dried.
Let it simmer for one more minute and serve.Serve Maize Daliya Khichri along with Boondi Raita, Tadka Raita or any other raita of your choice."
Spiced Beetroot Buttermilk Recipe,"2 Green Chilli,1/2 teaspoon Mustard seeds,2 cups Curd (Dahi / Yogurt),2 sprig Curry leaves,1 inch Ginger - chopped,Salt - to taste,1/4 teaspoon Chaat Masala Powder,1 teaspoon Sunflower Oil,2 cups Water,2 Beetroots - peeled and chopped",25,South Indian Recipes,"To Begin Making Spiced Beetroot Buttermilk first put the beetroot in a pressure cooker and half a cup of water and boil on medium heat for two whistles.
Let the pressure release naturally and let the beetroot cool.Once the beetroot is cooled blend it in a blender along with ginger, green chilies and 1 sprig of curry leaves.
Strain the pureed beetroot mixture through a strainer into a bowl.
In another big bowl whisk the curd and then add salt, chaat masala, pureed beetroot and water.Heat oil in a tadka pan over medium heat; add mustard seeds and curry leaves and allow it to crackle.
Once it crackles, turn off heat.
Spoon seasoning to the prepared Beetroot buttermilk and mix.Check the taste and adjust the salt and seasonings accordingly.
Once done, you can serve the beetroot buttermilk immediately or refrigerate it for a few hours and serve chilled.
Serve chilled spiced Beetroot Recipe with a South Indian of  Thakkali Vengaya Sambar, Steamed Rice and Pavakkai Poriyal or a North indian meal of Aromatic Vegetable Pulao, Tandoori Paneer Tikka Masala Recipe, Phulka and Jain Style Paneer Makhani Recipe and make a wholesome indian lunch or dinner."
North East Khapse Recipe (Deep Fried Biscuits From Arunachal),"2 cups All Purpose Flour (Maida),1/4 cup Sunflower Oil - & more to deep fry,3 tablespoon Sugar,1/2 cup Milk",50,Indian,"To begin making North East Khapse Recipe (Deep Fried Biscuits From Arunachal), dissolve the sugar in 1/2 cup of warm water.
Combine flour, oil, sugar water and milk in a mixing bowl.Mix everything together to make a smooth ball of dough.
Roll out the dough to about a 1/4 inch thickness.Cut the dough in strips and slice a slot in the middle of each piece.
Pull one corner of the piece of dough through the slot in the middle, creating a twist.Fry them in a deep fry pan  on medium-high heat till the Khapse turns golden brown, moving them around fairly often and very gently.Serve North East Khapse Recipe (Deep Fried Biscuits From Arunachal) with hot Masala Chai and Grilled Spicy Potato Sandwich for a perfect tea party with your family."
Pea And Spring Onion Soup Recipe,"1 cup Spring Onion Greens - roughly chopped,2 tablespoon Extra Virgin Olive Oil,Salt - to taste,500 ml Vegetable stock,2 teaspoon Black pepper powder,4 cloves Garlic - smashed,2 tablespoon Fresh cream,Black pepper powder - to taste,4 - 5 Spring Onion (Bulb & Greens) - chopped,2 cup Green peas (Matar) - steamed",40,Continental,"To begin making Pea And Spring Onion Soup, separate greens from spring onion.
Chop the spring onion and set aside.
Similarly chop the spring onion greens and keep in a separate bowl.In a large pot simmer vegetable stock over low flame so that it remain hot while adding to the soup.Heat olive oil in a saucepan over medium heat; add chopped spring onion and garlic.
Sauté until onion turn translucent but not brown for about 1 to 2 minutes.Once cooked the spring onions are through, add peas, spring greens and sauté for 2 minutes more.
Season with salt and pepper.Puree the green peas mixture in a mixer along with the vegetable stock into a smooth puree.
Check the salt and pepper and adjust to suit your taste.When you are ready to serve the Pea and Spring Onion Soup , bring the soup to a brisk boil over Saucepan.
Serve Pea And Spring Onion Soup along with Whole Wheat Rosemary Focaccia Bread as a weeknight meal appetizer."
Baked & Crisp Whole Wheat Methi Puri Recipe (Healthy Snack),"1/4 cup Ghee,2 tablespoons Kasuri Methi (Dried Fenugreek Leaves),1 teaspoon Cumin powder (Jeera),Salt - to taste,1 teaspoon Kalonji (Onion Nigella Seeds),2 cups Whole Wheat Flour,1 teaspoon Turmeric powder (Haldi),1/2 teaspoon Red Chilli powder",50,Indian,"To begin making the Whole Wheat Methi Puri Recipe, combine all the ingredients in a large mixing bowl.
Add the ghee as well into the flour mixture and you will notice it will form a crumb like texture.Check the salt levels and adjust to suit your taste.
You can optionally add chilli powder or crushed black pepper to add to the spice.Gradually add little water at a time and knead to make a firm yet smooth dough.
It should be more firm than the roti dough.
Preheat the oven to 180 C.
Dust the baking sheets with flour and keep aside.Next, roll the  Methi Puri (Mathri) Dough into a large circle, using a circular cookie cutter, cut the puris into circles.
At home we like our puris to be on the thinner side.
So based on your personal preference, adjust the thickness of the puris.Arrange the cut methi puris on the dusted baking tray and place it in the preheated oven to bake until golden brown and crisp (about 10 to 12 minutes)Once done, allow the Baked Methi Puris (Mathris) to cool down before storing it in airtight containers.Serve the Baked Methi Puris (Mathris) as a tea time snack or pack into the school snack boxes for kids topped with cheese."
Pumpkin Chapati Recipe,"Ghee - or oil for cooking,Sunflower Oil - for kneading,1/2 teaspoon Salt,1 cup Whole Wheat Flour,200 grams Kaddu (Parangikai/ Pumpkin) - boiled and mashed",35,Indian,"To begin making the Pumpkin Tawa Paratha Recipe, we will first pressure cook the pumpkin till it is completely cooked, this will take about 4 to 5 whistle and Once down allow the pressure to release by itself and mash them well.In a large bowl combine the flour, salt, mashed pumpkin, a tablespoon of oil and knead adding little water at a time to make firm and smooth dough.
Add one tablespoon of oil to coat the dough and knead again.
Cover and set aside for 15 minutes.Knead once again and divide the dough into 8 portions.
Preheat the iron skillet on medium heat.Roll the paratha dough portions into balls and flatten them with the palm of your hand.
Toss them on flour and roll them out into circles of approximately 3 inches in diameter.
Put 1/4 teaspoon oil and spread it on the rolled dough.We need to get a triangle shape, to do so, first fold into a semi-circle, then fold the semi-circle into half again.
You get a mini triangle shape.
Tossing the triangle on a little flour, roll it out gently into a larger triangle.
Continue the same process of rolling with the remaining dough portions.With skillet on medium high heat, place one rolled out dough on the skillet.
After a few seconds you will notice an air pockets popping out.
At this point flip the plain paratha and smear about 1/2 a teaspoon of ghee.
Using a flat spatula do a light pressing and turning motion to cook to the pumpkin paratha.Flip to the other side and press and turn in a similar way.
You will notice brown spots around the pumpkin parathas and it will be slightly crisp.
Remove from heat and place on a platter or serve hot.Continue the similar process with the remaining rolled portions and stack the cooked pumpkin paratha one above the other and serve hot.Serve the Pumpkin Chapathi Recipe along with Dahi Bhindi Recipe or Carrot and Beans Thoran (Subzi Recipe) for your everyday lunch ideas."
Vepilakatti - Lime Leaves Pickle Recipe,"1/2 teaspoon Asafoetida (hing) - powder,3 Shallots,Salt - to taste,Tamarind - small ball,2 Dry Red Chillies - (adjust),10 Kaffir lime leaves - or lemon leaves,5 Curry leaves",25,South Indian Recipes,"To begin making Veppilakatti - Lime Leaves Pickle Recipe, wash the Kaffir lime leaves & curry leaves, pat them dry.Dry roast the red chilli in a shallow frying pan until they turn crispy.
 Keep aside.Tear the stem of the kaffir lemon leaf.Add all the ingredients like the kaffir lime leaves, roasted red chillis, shallots, curry leaves, salt, tamarind and asafoetida in a Blender and blend.
Do not add water.
I ground coarsely like it is done traditionally.
You can also blend into a fine paste.Make them into small balls and store them in an airtight container.Serve Veppilakatti | Lime Leaves Pickle Recipe with Kerala Style Varutharacha Sambar, Steamed Rice Recipe, Homemade Yogurt and Elai Vadam.
"
Khaman Dhokla Poha Recipe,"Sunflower Oil - for cooking,Coriander (Dhania) Leaves - Few sprigs finely chopped,2 Green Chillies - finely chopped,1 Onion - finely chopped,1/4 cup Fresh coconut - grated,1/4 teaspoon Asafoetida (hing),2 cups Khaman dhokla - crumbled,1 tablespoon Mustard seeds",45,North Indian Recipes,"To begin making the Khaman Dhokla Poha Recipe, use leftover dhokla.Here is the recipe for the Khaman Dhokla Recipe if you would like to make this recipe with fresh Khaman Dhokla.
Once the dhoklas cool down, crumble the dhoklas and keep aside.Heat oil in a heavy bottomed pan and when the oil is hot, add mustard seeds and let them splutter.Once the seeds have spluttered add asafoetida, curry leaves and green chillies and saute them for a few seconds.Next, add some chopped onions and saute them for a minute till they become soft and translucent.Once done add grated coconut, salt to taste and saute for a minute.After a minute add the crumbled dhoklas to the pan, stir well to combine.
Turn off the heat and garnish with coriander leaves and serve.Serve Khaman Dhokla Poha with Pudina Chutney and a cup of Masala Chai."
Singhare Atte Ka Halwa/Sheera Recipe (Water Chestnut Flour Halwa Recipe),"2 teaspoons Cardamom Powder (Elaichi) - freshly ground,1/4 cup Cashew nuts - halved,1 cup Sugar,1 cup Singoda Flour (Water Chestnut),3 cups Water,1 cup Ghee - + 1 tablespoon",45,North Indian Recipes,"To begin making the Singhare Atte Ka Halwa/Sheera Recipe (Water Chestnut Flour Halwa Recipe) , heat the water and sugar in a saucepan, stirring continuously until the sugar melts.
Turn the heat to low and continue to heat the water until you get wheat flour mixture ready by following the steps that follow.Heat a heavy bottomed pan on medium heat; melt the one cup of ghee and stir in the singhare flour and roast the mixture on medium heat.
Continue to roast until the mixture begins to release a roasted aroma and changes colour to a roasted brown; the process will take about five minutes.Keep stirring continuously while it is roasting.
The mixture will begin to resemble like coarse crumbles.
Turn the heat to low and stir the cardamom powder to the singhare flour mixture.Slowly start stirring in the prepared sugar hot water to the mixture.
The mixture will start splitting and curdling.Continue stirring until the mixture thickens, but yet feels coarse and not like a blob of dough.
Stir continuously for 10-15 minutes on medium heat after it thickens.Turn the heat off and let the Singhare Atte Ka Halwa/Sheera Recipe (Water Chest Nut Flour Halwa Recipe) sit covered for about 5 minutes.In another small tadka pan; heat the 1 tablespoon of ghee on medium heat; add the cashew nuts and roast them until the cashew nuts turn golden brown.
Turn off heat and stir this into the Singhare Atte Ka Halwa/Sheera Recipe (Water Chest Nut Flour Halwa Recipe).Serve the Singhare Atte Ka Halwa/Sheera Recipe (Water Chestnut Flour Halwa Recipe) after a lunch or at a party with friends during the winter holiday season.
"
Gajar Vadi Recipe - Maharashtrian Style Steamed Carrot Dumplings,"1 tablespoon Lemon juice,1 teaspoon Sugar,1 Green Chilli - finely chopped,1 teaspoon Cumin powder (Jeera),1/2 cup Whole Wheat Flour -,2 teaspoons Sunflower Oil,Salt - to taste,2 cups Carrot (Gajjar) - grated,1 teaspoon Mustard seeds,1 teaspoon Sunflower Oil,1 sprig Curry leaves,1/4 teaspoon Asafoetida (hing),2 teaspoons Sesame seeds (Til seeds),2 tablespoons Curd (Dahi / Yogurt),1 teaspoon Turmeric powder (Haldi),1-1/2 cup Gram flour (besan),1 teaspoon Red Chilli powder - or according to taste,1/2 teaspoon Cumin seeds (Jeera)",35,Maharashtrian Recipes,"To begin making the Gajar Vadi, we will firsty make the vadi.
Wash, peel and grate the carrots in a bowl.In the same mixing bowl, add gram flour, wheat flour, red chilli powder, turmeric powder, cumin powder together and knead to make a firm, smooth dough by adding little water at a time.
Make a soft dough.To shape the vadi, sprinkle a little water on the dough, if required and shape the dough into cylindrical rolls of about 6"" length and 1"" thickness.
Make sure to make the rolls tight enough so that they don't split in the water.
In a saucepan, add enough water to accommodate all the rolls.
Now slowly drop the rolls into the water and boil them for about 15-20 minutes on high heat.
This will help in the rolls/ vadi to cook through.
Once done, remove the rolls and allow it to rest for about few minutes and allow it cool completely.
Once cooled completely, cut the Gajar Vadis rolls into even sized slices or bite size pieces.The next step is to temper the vadi.
Heat 2 teaspoons of oil in a pan on medium flame, add mustard and cumin seeds and allow them to crackle.Add in the asafoetida, curry leaves, green chillies and sesame seeds.
Stir well for about 30 seconds.Add in the cooked Gajar Vadi into the seasoning and stir fry for about a minute.
Ensure the Vadis are well coated with the seasoning.
Serve Gajar Vadi with Dhaniya Pudina Chutney and Masala Chai Recipe - Indian Spiced Tea for a light and healthy evening snack."
Soya Chunks Pepper Curry Recipe,"1 Green Bell Pepper (Capsicum) - cubed,2 cups Soy Chunks (Nuggets),12 Pearl onions (Sambar Onions) - peeled and halved,1 teaspoon Red Chilli powder,3 Green Chillies - slit into halves,Salt - as needed,1-1/2 teaspoon Coriander Powder (Dhania),1 tablespoon Sunflower Oil,7 Curry leaves,2 Tomato - chopped,1 teaspoon Sambar Powder,3 cups Water,1/2 teaspoon Cumin seeds (Jeera),6 cloves Garlic",30,Indian,"To begin making the Soya Chunks Pepper Curry recipe, bring water to boil in a small saucepan.Remove the water from the flame and add soya chunks.
Keep it aside for about 10 minutes.Drain the water from the soya chunks and squeeze out the water from the soya chunks.In a Kadai, add oil and heat it over medium flame.
Once the oil is hot, add garlic cloves and curry leaves.
Fry it for a minute.Now, add green chilies and fry for a minute.
Slide the chopped onions and cook until they become translucent.Add chopped tomatoes and cook until they become mushy.
Add the spices and cook them for few minutes.Add soya chunks and capsicum pieces to the mixture and combine them well.Add water and cook them until they are cooked completely.
Simmer the curry and cook until the required consistency.Season it with required salt and switch off the flame.
Serve hot.Serve Soya Chunks Pepper Curry along with Tomato Onion Cucumber Raita and Tawa Parathas for a weekday lunch or dinner."
